term,count
israel,122
iran,119
peace,116
nuclear,54
people,51
must,46
jewish,41
deal,40
time,39
world,38
east,36
state,36
america,35
middle,35
would,34
could,33
states,32
united,31
palestinian,30
know,29
us,28
thank,26
want,25
one,24
president,23
years,23
means,21
better,20
believe,20
every,19
make,19
say,19
weapons,18
democracy,18
today,17
future,17
even,16
regime,16
change,16
right,15
first,15
free,14
country,14
stand,14
see,14
last,14
great,14
well,14
freedom,14
friends,14
security,13
'',13
``,13
may,13
region,13
always,13
program,13
also,13
never,12
path,12
end,12
bomb,12
said,12
much,12
think,12
israeli,12
jews,12
history,12
american,12
like,12
aggression,11
give,11
arab,11
live,11
city,11
many,11
without,11
two,11
economic,11
less,11
second,10
rights,10
palestinians,10
support,10
way,10
neighbors,10
jerusalem,10
clear,10
land,10
new,9
god,9
stop,9
three,9
life,9
'm,9
year,9
come,9
century,9
restrictions,9
terrorism,9
leader,9
hamas,8
democratic,8
inspectors,8
human,8
attacks,8
terror,8
prevent,8
hope,8
economy,8
prime,8
children,8
islam,8
militant,8
throughout,8
conflict,8
greater,8
defend,8
put,8
terrorist,8
liberty,7
military,7
bad,7
best,7
tyranny,7
yet,7
war,7
effort,7
vital,7
given,7
get,7
enough,7
minister,7
good,7
deeply,7
committed,7
build,7
recent,7
1967,7
quest,7
continue,7
ago,7
young,7
led,7
sanctions,7
need,7
dangerous,7
ca,7
congress,7
mr,6
got,6
nations,6
strength,6
citizens,6
true,6
centrifuges,6
together,6
grateful,6
international,6
remember,6
million,6
anyone,6
friend,6
going,6
among,6
real,6
lebanon,6
stood,6
share,6
short,6
bless,6
major,6
done,6
jordan,6
obama,6
common,6
peoples,6
back,6
agreement,6
terrorists,6
long,6
power,6
decade,6
thousands,6
speaker,6
generous,6
lead,6
promise,6
north,6
understand,6
,5
vast,5
mean,5
days,5
another,5
forces,5
shall,5
countries,5
men,5
speak,5
easy,5
isis,5
happen,5
tehran,5
take,5
begin,5
nearly,5
un,5
insist,5
borders,5
around,5
lifted,5
lot,5
house,5
regimes,5
important,5
calls,5
known,5
beyond,5
members,5
relationship,5
part,5
enemy,5
korea,5
political,5
break-out,5
uranium,5
prepared,5
entire,5
capital,5
let,5
danger,5
reciprocity,5
women,5
process,5
something,5
day,5
strategic,5
face,5
partners,5
based,5
words,5
neither,5
agreements,5
government,5
problem,5
facilities,4
enjoy,4
told,4
pursuit,4
arms,4
size,4
oppose,4
pillars,4
greatest,4
advanced,4
desire,4
soon,4
fight,4
inside,4
negotiations,4
governments,4
standards,4
assistance,4
islamic,4
still,4
nation,4
care,4
tomorrow,4
bombs,4
infrastructure,4
threatens,4
gentlemen,4
facing,4
ladies,4
building,4
follow,4
far,4
iraq,4
accept,4
threat,4
arsenal,4
negotiating,4
long-term,4
community,4
behavior,4
virtually,4
alternative,4
pillar,4
hopes,4
body,4
missile,4
israelis,4
six,4
