term, count
israel, 62
peace, 51
state, 28
palestinian, 27
people, 20
jewish, 20
must, 16
could, 16
east, 15
middle, 14
president, 13
thank, 11
one, 11
iran, 11
america, 10
palestinians, 10
years, 9
see, 9
nuclear, 9
future, 9
would, 8
history, 8
said, 8
make, 8
freedom, 8
want, 7
united, 7
way, 7
say, 7
conflict, 7
well, 7
know, 7
world, 7
friends, 7
time, 7
young, 6
new, 6
states, 6
end, 6
always, 6
1967, 6
clear, 6
weapons, 6
never, 6
less, 6
arab, 6
hamas, 6
security, 6
even, 5
stood, 5
liberty, 5
path, 5
live, 5
today, 5
democracy, 5
vital, 5
remember, 5
democratic, 5
committed, 5
day, 5
got, 5
free, 5
put, 5
think, 5
jordan, 5
also, 5
region, 5
peoples, 5
continue, 5
right, 5
jews, 5
stand, 5
jerusalem, 5
us, 5
'm, 5
ago, 5
land, 5
great, 4
rights, 4
citizens, 4
give, 4
partner, 4
six, 4
better, 4
mean, 4
defend, 4
million, 4
oppose, 4
tehran, 4
believe, 4
need, 4
take, 4
tyranny, 4
last, 4
throughout, 4
much, 4
borders, 4
real, 4
century, 4
recent, 4
generous, 4
like, 4
lebanon, 4
two, 4
children, 3
every, 3
sanctions, 3
enjoy, 3
deeply, 3
terrorism, 3
change, 3
egypt, 3
abbas, 3
mr, 3
share, 3
accept, 3
economy, 3
may, 3
islam, 3
negotiated, 3
areas, 3
decades, 3
nation, 3
truth, 3
beyond, 3
god, 3
tomorrow, 3
size, 3
already, 3
another, 3
militant, 3
compromise, 3
destruction, 3
obama, 3
lines, 3
defending, 3
forces, 3
many, 3
reach, 3
find, 3
going, 3
means, 3
words, 3
prime, 3
achieved, 3
nations, 3
israeli, 3
come, 3
tough, 3
homeland, 3
country, 3
different, 3
independent, 3
negotiate, 3
easy, 3
around, 3
historic, 3
lost, 3
absolutely, 3
economic, 3
agreement, 3
terrorists, 3
recognize, 3
promise, 3
support, 3
long, 3
lot, 3
gaza, 3
hopes, 3
inside, 3
un, 3
``, 3
'', 3
together, 3
regime, 3
congress, 3
prepared, 3
important, 3
vice, 3
ministers, 2
send, 2
program, 2
terror, 2
far, 2
governments, 2
issue, 2
small, 2
prevent, 2
charter, 2
leaders, 2
holocaust, 2
second, 2
stands, 2
capital, 2
partners, 2
possibility, 2
brilliant, 2
fired, 2
permit, 2
military, 2
pack, 2
danger, 2
ask, 2
knows, 2
holy, 2
israelis, 2
sit, 2
town, 2
remain, 2
achieve, 2
root, 2
reserves, 2
something, 2
unwavering, 2
holds, 2
short, 2
appreciate, 2
banks, 2
soon, 2
stability, 2
still, 2
hezbollah, 2
choose, 2
eventually, 2
good, 2
greater, 2
bigger, 2
border, 2
solution, 2
begun, 2
year, 2
ultimately, 2
since, 2
squares, 2
supports, 2
viable, 2
quite, 2
imagine, 2
unique, 2
days, 2
times, 2
simply, 2
george, 2
city, 2
given, 2
passed, 2
national, 2
friend, 2
paved, 2
beltway, 2
determined, 2
seen, 2
laden, 2
led, 2
deny, 2
flow, 2
arrangements, 2
far-reaching, 2
bright, 2
ground, 2
enough, 2
outrage, 2
stop, 2
truly, 2
nearly, 2
distortion, 2
suez, 2
societies, 2
best, 2
cities, 2
protect, 2
freely, 2
among, 2
ca, 2
table, 2
along, 2
condemned, 2
agreements, 2
alongside, 2
prosperous, 2
look, 2
publicly, 2
developing, 2
anchor, 2
alike, 2
helped, 2
return, 2
missiles, 2
threatens, 2
virtually, 2
strategic, 2
opportunity, 2
settlements, 2
yet, 2
killed, 2
bin, 2
forge, 2
desire, 2
dignity, 2
necessary, 2
unstable, 2
fully, 2
honored, 2
bless, 2
pro-american, 2
worship, 2
leader, 2
300, 2
shifting, 2
immigrate, 2
troops, 2
realistic, 2
'd, 2
protests, 2
creativity, 2
washington, 2
old, 2
canal, 2
building, 2
congratulations, 2
arabs, 2
eliot, 2
percent, 2
unwilling, 2
life, 2
welcome, 2
establish, 2
christians, 2
calls, 2
rule, 2
understand, 2
gadhafi, 1
remarkable, 1
lack, 1
results, 1
protest, 1
broader, 1
battle, 1
settlement, 1
hate, 1
shattered, 1
one-half, 1
hold, 1
everywhere, 1
tremors, 1
finally, 1
voted, 1
sovereignty, 1
women, 1
pact, 1
woman, 1
risk, 1
without, 1
rambunctious, 1
sponsors, 1
seconds, 1
telling, 1
isaiah, 1
exact, 1
courageous, 1
vast, 1
parliaments, 1
tear, 1
brother, 1
race, 1
subway, 1
guy, 1
convince, 1
firefight, 1
revolution, 1
tel, 1
tougher, 1
consists, 1
withdrew, 1
reaffirmed, 1
investment, 1
established, 1
educate, 1
samaria, 1
giving, 1
brief, 1
access, 1
public, 1
19th, 1
version, 1
ammunition, 1
badge, 1
succumb, 1
ferocious, 1
guardian, 1
men, 1
hundreds, 1
met, 1
address, 1
alone, 1
persecuted, 1
iraq, 1
fifteen, 1
boy, 1
kids, 1
incoming, 1
forum, 1
battling, 1
changed, 1
amount, 1
action, 1
makes, 1
honor, 1
genuinely, 1
sticking, 1
secure, 1
africa, 1
1947, 1
brought, 1
guests, 1
seriously, 1
arab-israeli, 1
tools, 1
obliteration, 1
everybody, 1
toppled, 1
remains, 1
visit, 1
arms, 1
ayatollah, 1
territories, 1
doubt, 1
call, 1
therefore, 1
despotisms, 1
forefathers, 1
india, 1
occurred, 1
missile, 1
grief, 1
berlin, 1
warm, 1
beholden, 1
unforgiving, 1
effort, 1
behalf, 1
enjoying, 1
debates, 1
work, 1
believes, 1
anywhere, 1
nine, 1
growing, 1
refugee, 1
heart, 1
council, 1
distortions, 1
process, 1
knesset, 1
terrible, 1
biden, 1
walked, 1
david, 1
bolstered, 1
advancing, 1
worse, 1
parliamentary, 1
information, 1
recovery, 1
thing, 1
rather, 1
oslo, 1
divided, 1
speedy, 1
condemn, 1
establishment, 1
weaponry, 1
incorporated, 1
siren, 1
reflect, 1
islamic, 1
wrong, 1
belgians, 1
coming, 1
foremost, 1
flourish, 1
burns, 1
attempt, 1
