term, count
the, 227
iran, 107
of, 103
to, 100
and, 93
that, 88
's, 64
in, 52
is, 48
for, 48
nuclear, 43
it, 42
you, 41
deal, 40
be, 36
israel, 34
we, 34
with, 31
this, 30
n't, 27
not, 27
but, 27
would, 24
on, 24
will, 23
--, 20
its, 18
by, 18
my, 17
world, 17
has, 17
people, 17
more, 16
could, 16
have, 16
if, 16
know, 16
now, 15
our, 15
america, 15
do, 15
jewish, 15
all, 14
better, 14
when, 14
can, 13
thank, 13
are, 13
an, 13
time, 13
change, 12
they, 12
no, 12
us, 12
as, 12
regime, 12
even, 11
program, 11
so, 11
bomb, 11
years, 10
one, 10
weapons, 10
been, 10
because, 10
at, 10
who, 9
only, 9
restrictions, 9
middle, 9
some, 9
about, 9
east, 9
he, 9
aggression, 8
today, 8
president, 8
inspectors, 8
why, 8
country, 8
like, 8
stand, 8
up, 8
very, 7
what, 7
here, 7
path, 7
must, 7
may, 7
them, 7
year, 7
bad, 7
last, 7
those, 7
many, 7
does, 7
leader, 7
or, 7
're, 7
again, 7
friends, 7
from, 6
states, 6
before, 6
always, 6
american, 6
first, 6
there, 6
than, 6
future, 6
thousands, 6
get, 6
stop, 6
much, 6
life, 6
just, 6
your, 6
was, 6
centrifuges, 6
``, 6
'', 6
'll, 6
, 5
neighbors, 5
korea, 5
second, 5
two, 5
want, 5
united, 5
lifted, 5
major, 5
done, 5
were, 5
any, 5
also, 5
decade, 5
should, 5
hope, 5
state, 5
ca, 5
make, 5
terrorism, 5
break-out, 5
well, 5
without, 5
uranium, 5
back, 5
isis, 5
right, 5
support, 5
north, 5
peace, 5
facilities, 4
vast, 4
entire, 4
prevent, 4
while, 4
never, 4
let, 4
infrastructure, 4
known, 4
history, 4
give, 4
concession, 4
good, 4
defend, 4
arsenal, 4
anyone, 4
militant, 4
which, 4
face, 4
enemy, 4
bombs, 4
see, 4
said, 4
between, 4
come, 4
region, 4
minister, 4
behavior, 4
less, 4
being, 4
alternative, 4
've, 4
down, 4
war, 4
sanctions, 4
grateful, 3
appetite, 3
terror, 3
difference, 3
leave, 3
harry, 3
deeply, 3
zealots, 3
told, 3
great, 3
military, 3
standing, 3
missile, 3
after, 3
islamic, 3
short, 3
tweets, 3
greater, 3
house, 3
persian, 3
revolutionary, 3
radical, 3
their, 3
too, 3
